grupo,n,pct_alumnado,pct_reprobacion,programa
G0 – Riesgo por gestión del tiempo deficiente,43655,25.5,46.7,Taller de planificación y organización
G1 – Alto desempeño autónomo,45206,26.4,18.0,Mantención / mentor par
G2 – Riesgo por calidad de apuntes deficiente,41377,24.1,44.7,Técnicas de estudio y toma de apuntes
G3 – Riesgo por desmotivación,41096,24.0,51.7,Programa motivacional y consejería
