umbral,alertas,pct_alumnado,recall_fail,precision_fail
0.3,17332,67.4,95.9,56.6
0.4,14278,55.6,90.2,64.7
0.5,11477,44.7,81.2,72.4
0.6,8795,34.2,68.5,79.7
0.7,6251,24.3,52.9,86.6
