,age,study_hours,attendance,sleep_hours,assignments_completed,practice_tests_taken,group_study_hours,notes_quality_score,time_management_score,motivation_level,mental_health_score,screen_time,social_media_hours
Fail,16.506,3.677,82.868,6.817,7.36,3.62,1.462,6.564,5.87,6.386,6.757,4.314,2.762
Pass,16.495,5.048,85.919,7.115,8.163,4.288,1.576,7.192,6.86,7.317,7.125,3.829,2.377
